Particle ID =     1
                 t                 x                 y                 z                ux                uy                uz               urx               ury               urz          Fx_hydro          Fy_hydro          Fz_hydro         RFx_hydro         RFy_hydro         RFz_hydro           Fx_coll           Fy_coll           Fz_coll
  0.349177268E-01   0.500000000E-01   0.500000000E-01   0.127125677E+00  -0.183670175E-16  -0.110422712E-16  -0.188460712E-01   0.617314153E-16   0.481645486E-17   0.225254308E-15   0.119080576E-15  -0.988527197E-17  -0.818664569E-03  -0.108815289E-19  -0.341215205E-20   0.204285009E-19   0.000000000E+00   0.000000000E+00   0.000000000E+00 
  0.354719764E-01   0.500000000E-01   0.500000000E-01   0.127115168E+00   0.222227908E-17  -0.186136185E-17  -0.190753558E-01   0.262492147E-15  -0.611703743E-15   0.679073531E-15   0.735235586E-16   0.327846619E-16  -0.818766107E-03   0.161304433E-19  -0.495353052E-19   0.364628341E-19   0.000000000E+00   0.000000000E+00   0.000000000E+00 
  0.360262260E-01   0.500000000E-01   0.500000000E-01   0.127104534E+00   0.119810893E-16   0.100683058E-16  -0.192962079E-01   0.680055134E-15  -0.158009861E-14   0.981189959E-15   0.348483227E-16   0.426003682E-16  -0.788654112E-03   0.335497687E-19  -0.778072402E-19   0.242740295E-19   0.000000000E+00   0.000000000E+00   0.000000000E+00 
  0.365804757E-01   0.500000000E-01   0.500000000E-01   0.127093779E+00   0.434775148E-17   0.125378046E-16  -0.195123992E-01   0.955509938E-15  -0.194516242E-14   0.613874338E-15  -0.272583454E-16   0.881848192E-17  -0.772010672E-03   0.221318585E-19  -0.293316385E-19  -0.295125634E-19   0.000000000E+00   0.000000000E+00   0.000000000E+00 
  0.371347253E-01   0.500000000E-01   0.500000000E-01   0.127082909E+00  -0.578005533E-18   0.844699273E-17  -0.197140541E-01   0.831994971E-15  -0.187699420E-14   0.460776961E-15  -0.175896822E-16  -0.146081262E-16  -0.720101525E-03  -0.992400837E-20   0.547708539E-20  -0.123008546E-19   0.000000000E+00   0.000000000E+00   0.000000000E+00 
  0.376889749E-01   0.500000000E-01   0.500000000E-01   0.127071927E+00   0.123068157E-16   0.883040766E-17  -0.199139839E-01   0.869197601E-15  -0.225550175E-14   0.246007489E-15   0.460111839E-16   0.136915945E-17  -0.713941386E-03   0.298910502E-20  -0.304117967E-19  -0.172559980E-19   0.000000000E+00   0.000000000E+00   0.000000000E+00 
  0.382432246E-01   0.500000000E-01   0.500000000E-01   0.127060833E+00   0.233186609E-16   0.112574984E-16  -0.201198938E-01   0.135402482E-14  -0.306845609E-14   0.442596091E-15   0.393228608E-16   0.866704439E-17  -0.735295945E-03   0.389542210E-19  -0.653181215E-19   0.157952269E-19   0.000000000E+00   0.000000000E+00   0.000000000E+00 
  0.387974742E-01   0.500000000E-01   0.500000000E-01   0.127049620E+00   0.119115813E-16   0.921698547E-17  -0.203402572E-01   0.150529688E-14  -0.300361229E-14   0.765480685E-15  -0.407342275E-16  -0.728659043E-17  -0.786908968E-03   0.121541966E-19   0.520997882E-20   0.259426811E-19   0.000000000E+00   0.000000000E+00   0.000000000E+00 
  0.393517238E-01   0.500000000E-01   0.500000000E-01   0.127038285E+00  -0.592755955E-17   0.759855223E-17  -0.205633405E-01   0.152837657E-14  -0.286855843E-14   0.976090452E-15  -0.637028617E-16  -0.577936068E-17  -0.796621627E-03   0.185437490E-20   0.108511193E-19   0.169217799E-19   0.000000000E+00   0.000000000E+00   0.000000000E+00 
  0.399059735E-01   0.500000000E-01   0.500000000E-01   0.127026830E+00  -0.530292349E-17   0.905054306E-17  -0.207720500E-01   0.188063885E-14  -0.324190519E-14   0.131953240E-14   0.223055053E-17   0.518500145E-17  -0.745293343E-03   0.283030787E-19  -0.299971446E-19   0.275943947E-19   0.000000000E+00   0.000000000E+00   0.000000000E+00 
  0.404602231E-01   0.500000000E-01   0.500000000E-01   0.127015253E+00   0.800547485E-17   0.133491239E-16  -0.210033774E-01   0.213060006E-14  -0.345628635E-14   0.112995921E-14   0.475237607E-16   0.153500613E-16  -0.826060872E-03   0.200835350E-19  -0.172247988E-19  -0.152315620E-19   0.000000000E+00   0.000000000E+00   0.000000000E+00 
  0.410144727E-01   0.500000000E-01   0.500000000E-01   0.127003545E+00   0.176978527E-16   0.169539924E-16  -0.212426994E-01   0.245165366E-14  -0.365478644E-14   0.960100375E-15   0.346110954E-16   0.128728418E-16  -0.854609234E-03   0.257955666E-19  -0.159488086E-19  -0.136475812E-19   0.000000000E+00   0.000000000E+00   0.000000000E+00 
  0.415687223E-01   0.500000000E-01   0.500000000E-01   0.126991711E+00   0.223507715E-16   0.162708526E-16  -0.214622154E-01   0.252123665E-14  -0.387294909E-14   0.997607331E-15   0.166153880E-16  -0.243946520E-17  -0.783882962E-03   0.559075746E-20  -0.175286281E-19   0.301355659E-20   0.000000000E+00   0.000000000E+00   0.000000000E+00 
