Particle ID =     1
                 t                 x                 y                 z                ux                uy                uz               urx               ury               urz                Fx                Fy                Fz               RFx               RFy               RFz               Fxa               Fya               Fza
  0.114374820E+00   0.500014561E-01   0.500014561E-01   0.123888289E+00   0.414034086E-04   0.414034086E-04  -0.417359545E-01   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.104903120E-05   0.104903120E-05   0.260609882E-02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.111991548E-05   0.111991548E-05   0.261180162E-02 
  0.116974248E+00   0.500015657E-01   0.500015657E-01   0.123779682E+00   0.428569795E-04   0.428569795E-04  -0.418287560E-01   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.103546375E-05   0.103546375E-05   0.261044442E-02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.110674835E-05   0.110674835E-05   0.261637460E-02 
  0.119573676E+00   0.500016790E-01   0.500016790E-01   0.123670842E+00   0.442973826E-04   0.442973826E-04  -0.419161466E-01   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.102490953E-05   0.102490953E-05   0.261435902E-02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.109672243E-05   0.109672243E-05   0.262049449E-02 
  0.122173104E+00   0.500017961E-01   0.500017961E-01   0.123561780E+00   0.457254453E-04   0.457254453E-04  -0.419986383E-01   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.101495851E-05   0.101495851E-05   0.261790272E-02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.108732647E-05   0.108732647E-05   0.262422450E-02 
  0.124772531E+00   0.500019168E-01   0.500019168E-01   0.123452510E+00   0.471388706E-04   0.471388706E-04  -0.420766921E-01   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.100333106E-05   0.100333106E-05   0.262111247E-02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.107618149E-05   0.107618149E-05   0.262760352E-02 
  0.127371959E+00   0.500020412E-01   0.500020412E-01   0.123343042E+00   0.485356139E-04   0.485356139E-04  -0.421507266E-01   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.990215915E-06   0.990215915E-06   0.262401901E-02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.106347989E-05   0.106347989E-05   0.263066383E-02 
  0.129971387E+00   0.500021692E-01   0.500021692E-01   0.123233387E+00   0.499146731E-04   0.499146731E-04  -0.422211503E-01   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.976372914E-06   0.976372914E-06   0.262662963E-02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.105001519E-05   0.105001519E-05   0.263341302E-02 
  0.132570815E+00   0.500023007E-01   0.500023007E-01   0.123123553E+00   0.512746310E-04   0.512746310E-04  -0.422883409E-01   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.961489484E-06   0.961489484E-06   0.262896688E-02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.103547143E-05   0.103547143E-05   0.263587481E-02 
  0.135170242E+00   0.500024358E-01   0.500024358E-01   0.123013548E+00   0.526129507E-04   0.526129507E-04  -0.423526374E-01   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.944744513E-06   0.944744513E-06   0.263105843E-02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.101899617E-05   0.101899617E-05   0.263807831E-02 
  0.137769670E+00   0.500025743E-01   0.500025743E-01   0.122903380E+00   0.539259744E-04   0.539259744E-04  -0.424143129E-01   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.925330373E-06   0.925330373E-06   0.263295215E-02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.999735799E-06   0.999735799E-06   0.264007390E-02 
  0.140369098E+00   0.500027162E-01   0.500027162E-01   0.122793054E+00   0.552108548E-04   0.552108548E-04  -0.424735987E-01   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.903843725E-06   0.903843725E-06   0.263467847E-02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.978307484E-06   0.978307484E-06   0.264189347E-02 
  0.142968526E+00   0.500028614E-01   0.500028614E-01   0.122682577E+00   0.564669490E-04   0.564669490E-04  -0.425306944E-01   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.881893804E-06   0.881893804E-06   0.263626022E-02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.956389688E-06   0.956389688E-06   0.264356100E-02 
  0.145567953E+00   0.500030098E-01   0.500030098E-01   0.122571954E+00   0.576960189E-04   0.576960189E-04  -0.425857888E-01   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.861237161E-06   0.861237161E-06   0.263770534E-02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.935813349E-06   0.935813349E-06   0.264508478E-02 
  0.148167381E+00   0.500031614E-01   0.500031614E-01   0.122461191E+00   0.589015524E-04   0.589015524E-04  -0.426390437E-01   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.843122482E-06   0.843122482E-06   0.263903343E-02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.917892794E-06   0.917892795E-06   0.264648546E-02 
  0.150766809E+00   0.500033161E-01   0.500033161E-01   0.122350291E+00   0.600857917E-04   0.600857917E-04  -0.426906061E-01   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.826629574E-06   0.826629574E-06   0.264025491E-02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.901679414E-06   0.901679415E-06   0.264777402E-02 
  0.153366236E+00   0.500034739E-01   0.500034739E-01   0.122239259E+00   0.612499645E-04   0.612499645E-04  -0.427406109E-01   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.811027200E-06   0.811027200E-06   0.264137882E-02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.886400803E-06   0.886400803E-06   0.264896002E-02 
  0.155965664E+00   0.500036346E-01   0.500036346E-01   0.122128100E+00   0.623947556E-04   0.623947556E-04  -0.427892087E-01   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.795929158E-06   0.795929158E-06   0.264239368E-02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.871643497E-06   0.871643497E-06   0.265003131E-02 
  0.158565092E+00   0.500037983E-01   0.500037983E-01   0.122016815E+00   0.635183212E-04   0.635183212E-04  -0.428365526E-01   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.779482464E-06   0.779482464E-06   0.264329768E-02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.855482451E-06   0.855482451E-06   0.265098600E-02 
  0.161164520E+00   0.500039649E-01   0.500039649E-01   0.121905409E+00   0.646176846E-04   0.646176846E-04  -0.428827903E-01   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.760849449E-06   0.760849449E-06   0.264409480E-02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.837054912E-06   0.837054912E-06   0.265182825E-02 
  0.163763947E+00   0.500041343E-01   0.500041343E-01   0.121793884E+00   0.656909403E-04   0.656909403E-04  -0.429280427E-01   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.740810544E-06   0.740810544E-06   0.264480448E-02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.817176517E-06   0.817176517E-06   0.265257854E-02 
  0.166363375E+00   0.500043065E-01   0.500043065E-01   0.121682243E+00   0.667380872E-04   0.667380872E-04  -0.429724183E-01   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.720747480E-06   0.720747480E-06   0.264543552E-02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.797297317E-06   0.797297317E-06   0.265324608E-02 
  0.168962803E+00   0.500044813E-01   0.500044813E-01   0.121570487E+00   0.677622232E-04   0.677622232E-04  -0.430160085E-01   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.702910332E-06   0.702910332E-06   0.264600050E-02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.779776798E-06   0.779776798E-06   0.265384409E-02 
  0.171562231E+00   0.500046588E-01   0.500046588E-01   0.121458619E+00   0.687686936E-04   0.687686936E-04  -0.430588963E-01   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.688932117E-06   0.688932117E-06   0.264650533E-02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.766326180E-06   0.766326180E-06   0.265437884E-02 
  0.174161658E+00   0.500048389E-01   0.500048389E-01   0.121346640E+00   0.697645699E-04   0.697645699E-04  -0.431011473E-01   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.680055079E-06   0.680055079E-06   0.264696271E-02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.758259862E-06   0.758259862E-06   0.265486377E-02 
  0.176761086E+00   0.500050216E-01   0.500050216E-01   0.121234552E+00   0.707579930E-04   0.707579930E-04  -0.431428209E-01   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.677046385E-06   0.677046385E-06   0.264737694E-02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.756391984E-06   0.756391984E-06   0.265530341E-02 
  0.179360514E+00   0.500052069E-01   0.500052069E-01   0.121122357E+00   0.717538117E-04   0.717538117E-04  -0.431839680E-01   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.677510999E-06   0.677510999E-06   0.264775417E-02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.758216036E-06   0.758216036E-06   0.265570427E-02 
  0.181959942E+00   0.500053947E-01   0.500053947E-01   0.121010055E+00   0.727495705E-04   0.727495705E-04  -0.432246395E-01   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.676117095E-06   0.676117095E-06   0.264809448E-02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.758170412E-06   0.758170412E-06   0.265606638E-02 
  0.184559369E+00   0.500055852E-01   0.500055852E-01   0.120897648E+00   0.737367567E-04   0.737367567E-04  -0.432648766E-01   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.668430069E-06   0.668430069E-06   0.264840483E-02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.751643200E-06   0.751643200E-06   0.265639708E-02 
  0.187158797E+00   0.500057782E-01   0.500057782E-01   0.120785137E+00   0.747055589E-04   0.747055589E-04  -0.433047178E-01   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.653495772E-06   0.653495772E-06   0.264868737E-02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.737645663E-06   0.737645663E-06   0.265669863E-02 
